Date,Open,High,Low,Close,Volume
20200518,78.29,79.125,77.58,78.74,985648
20200519,78.76,79.63,78.255,78.285,782281
20200520,79.17,79.88,79.05,79.81,840570
20200521,79.665,80.225,78.97,79.215,768761
20200522,78.94,79.81,78.84,79.725,630764
20200526,80.87,81.06,79.125,79.185,922519
20200527,78.985,79.675,78.27,79.53,766762
20200528,79.175,80.86,78.91,79.565,965768
20200529,79.85,80.29,79.12,79.485,968537
20200601,79.45,80.59,79.3,80.465,601143
20200602,80.185,80.86,79.735,80.835,627984
20200603,81.165,81.55,80.575,81.28,748812
20200604,81.155,81.405,80.195,80.58,620033
20200605,80.85,82.94,80.81,82.875,965658
20200608,82.565,83.4,81.83,83.365,661572
20200609,83.025,86.405,83.005,86.0,1069206
20200610,86.975,88.695,86.52,88.21,1278007
20200611,87.32,87.765,83.87,83.975,1430100
20200612,86.19,86.95,83.555,84.7,1501810
20200615,83.29,86.42,83.145,85.75,1021069
20200616,87.855,88.3,86.18,88.02,1200133
20200617,88.79,88.85,87.77,87.895,825911
20200618,87.875,88.365,87.305,87.935,677632
20200619,88.635,89.14,86.29,87.43,1499799
20200622,87.85,89.865,87.79,89.72,1008981
20200623,90.985,93.095,90.57,91.635,1643135
20200624,91.265,92.2,89.63,90.015,1467575
20200625,90.185,91.25,89.395,91.21,1041890
20200626,91.115,91.33,88.255,88.41,1320195
20200629,88.33,90.545,87.82,90.445,942607
20200630,90.02,91.495,90.0,91.2,921792
20200701,91.255,91.84,90.98,91.03,811126
20200702,91.95,92.62,90.91,91.03,808352
20200706,92.5,93.945,92.47,93.465,831416
20200707,93.87,94.655,93.06,93.175,777912
20200708,94.19,95.375,94.09,95.345,825485
20200709,96.265,96.32,94.675,95.685,909511
20200710,95.225,95.98,94.705,95.92,628205
20200713,97.28,99.955,95.26,95.48,1385954
20200714,94.825,97.255,93.88,97.06,1171127
20200715,99.0,99.25,96.49,97.725,1131077
20200716,96.535,97.405,95.905,96.52,786515
20200717,96.905,97.145,95.84,96.33,632955
20200720,96.395,98.5,96.065,98.36,621804
20200721,99.175,99.25,96.745,97.0,725787
20200722,96.67,97.975,96.605,97.27,591475
20200723,97.0,97.08,92.01,92.845,1349141
20200724,90.95,92.97,89.165,92.615,1351075
20200727,93.72,94.905,93.48,94.81,855986
20200728,94.265,94.55,93.25,93.255,647837
20200729,93.75,95.23,93.715,95.04,641162
20200730,94.185,96.3,93.77,96.19,903952
20200731,102.875,106.415,100.825,106.26,2693797
20200803,108.31,111.64,107.895,108.94,2291900
20200804,109.115,110.79,108.39,109.665,1295876
20200805,109.405,110.395,108.895,110.065,859876
20200806,110.405,114.415,109.8,113.905,1520426
20200807,113.195,113.675,110.295,111.115,1384489
20200810,112.565,113.775,110.0,112.73,1604793
20200811,111.925,112.485,109.105,109.375,1182393
20200812,110.44,113.275,110.3,113.01,1217430
20200813,114.445,116.045,113.925,115.01,1550069
20200814,114.745,115.0,113.045,114.91,1212603
20200817,116.04,116.09,113.965,114.61,792389
20200818,114.35,116.0,114.01,115.565,742227
20200819,115.99,117.165,115.61,115.71,1040312
20200820,115.755,118.395,115.735,118.275,891424
20200821,119.24,124.87,119.24,124.37,2527711
20200824,128.695,128.785,123.935,125.86,2446852
20200825,124.69,125.18,123.05,124.825,1553469
20200826,126.195,126.995,125.085,126.52,1130781
20200827,127.125,127.485,123.835,125.01,1069327
20200828,126.02,126.445,124.58,124.81,1156438
20200831,127.61,131.0,126.0,129.04,1629392
20200901,132.79,134.8,130.53,134.18,1164862
20200902,137.6,137.97,127.0,131.4,1538317
20200903,126.94,128.84,120.5,120.88,1882206
20200904,120.14,123.7,110.89,120.96,2589920
20200908,114.28,118.99,112.68,112.82,1777781
20200909,117.32,119.14,115.26,117.32,1339297
20200910,120.44,120.5,112.5,113.49,1449819
20200911,114.61,115.23,110.0,112.0,1465577
20200914,114.72,115.93,112.8,115.355,1078342
20200915,118.39,118.83,113.61,115.54,1494358
20200916,115.17,116.0,112.04,112.13,1191098
20200917,109.73,112.2,108.71,110.34,1387581
20200918,110.38,110.88,106.09,106.84,1821314
20200921,104.52,110.19,103.1,110.08,1587937
20200922,112.68,112.86,109.16,111.81,1519398
20200923,111.63,112.11,106.77,107.12,1171183
20200924,105.19,110.25,105.0,108.22,1381624
20200925,108.51,112.44,107.67,112.28,1231927
20200928,114.91,115.32,112.78,114.96,1118265
20200929,114.51,115.31,113.57,114.09,834379
20200930,113.63,117.26,113.62,115.81,1117890
20201001,117.7,117.72,115.83,116.79,919626
20201002,112.84,115.37,112.22,113.02,1155518
20201005,113.92,116.65,113.55,116.5,842286
20201006,115.68,116.12,112.25,113.16,1320675
20201007,114.65,115.55,114.13,115.08,783055
20201008,116.25,116.4,114.59,114.97,689080
20201009,115.23,117.0,114.92,116.97,811404
20201012,120.06,125.18,119.28,124.4,1955987
20201013,125.31,125.39,119.65,121.1,2196919
20201014,120.99,123.03,119.62,121.19,1284940
20201015,118.78,121.2,118.15,120.71,926456
20201016,121.25,121.55,118.81,119.02,917422
20201019,119.96,120.42,115.66,115.98,1001106
20201020,116.21,118.98,115.63,117.51,1037159
20201021,116.59,118.71,116.45,116.87,735832
20201022,117.43,118.04,114.83,115.75,853129
20201023,116.36,116.55,114.28,115.04,679614
20201026,114.03,116.55,112.88,115.05,903440
20201027,115.5,117.28,114.53,116.6,760050
20201028,115.04,115.43,111.1,111.2,1069633
20201029,112.36,116.93,112.2,115.32,1022078
20201030,111.04,111.99,107.72,108.86,1487179
20201102,109.14,110.68,107.32,108.77,1002101
20201103,109.66,111.49,108.73,110.44,891848
20201104,114.09,115.59,112.35,114.95,1101039
20201105,117.93,119.62,116.86,119.03,1005815
20201106,118.3,119.2,116.13,118.69,837424
20201109,120.5,121.99,116.05,116.32,1160016
20201110,115.56,117.59,114.13,115.97,1079265
20201111,117.19,119.63,116.44,119.49,831013
20201112,119.71,120.53,118.57,119.21,872069
20201113,119.45,119.68,117.87,119.26,645062
20201116,118.88,120.99,118.14,120.3,694385
20201117,119.53,120.68,118.96,119.39,575941
20201118,118.61,119.82,118.0,118.03,572897
20201119,117.67,119.06,116.81,118.64,579058
20201120,118.64,118.77,117.29,117.34,558826
20201123,117.19,117.63,113.75,113.85,1014171
20201124,113.91,115.85,112.59,115.17,910876
20201125,115.54,116.75,115.17,116.03,610314
20201127,116.57,117.49,116.22,116.59,381739
20201130,116.94,120.97,116.81,119.05,1141610
20201201,121.03,123.47,120.01,122.72,999805
20201202,122.03,123.37,120.89,123.08,671595
20201203,123.52,123.78,122.21,122.94,602816
20201204,122.55,122.87,121.52,122.25,568473
20201207,122.38,124.57,122.22,123.75,648764
20201208,124.37,124.98,123.09,124.38,622109
20201209,124.51,125.95,121.0,121.78,864846
20201210,120.48,123.87,120.15,123.24,621504
20201211,122.49,122.76,120.55,122.41,646562
20201214,122.58,123.35,121.54,121.78,526441
20201215,124.42,127.9,124.13,127.88,1207939
20201216,127.38,128.37,126.56,127.81,728583
20201217,128.91,129.58,128.04,128.7,650842
20201218,128.93,129.1,126.12,126.655,951375
20201221,125.04,128.31,123.44,128.23,873991
20201222,131.59,134.41,129.65,131.88,1390184
20201223,132.14,132.43,130.78,130.96,655247
20201224,131.33,133.46,131.1,131.97,458572
20201228,133.99,137.34,133.51,136.69,1010453
20201229,138.07,138.79,134.34,134.87,1003502
20201230,135.54,135.99,133.4,133.72,769924
20201231,134.04,134.74,131.72,132.69,748429
20210104,133.52,133.62,126.8,129.41,1006555
20210105,128.88,131.74,128.43,131.01,722584
20210106,127.72,131.05,126.38,126.6,1215915
20210107,128.4,131.63,127.86,130.92,843085
20210108,132.43,132.63,130.23,132.05,814048
20210111,129.16,130.17,128.5,128.98,729223
20210112,128.52,129.69,126.86,128.8,719255
20210113,128.69,131.45,128.49,130.89,691943
20210114,130.8,131.0,128.76,128.91,667261
20210115,128.68,130.23,127.0,127.14,770162
20210119,127.72,128.71,126.93,127.83,609498
